P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Sopmo  ,Yomogi ,0,1,0,round,255
Phisakura  ,Denkota  ,0,1,0,round,254
Lunamado ,Uni  ,0,1,0,round,253
Chart-Yatsu  ,Sekawa  ,1,0,1,round,252
Abadango ,Lararashi  ,0,1,0,round,251
Oisiiprotein  ,Fill  ,0,1,0,round,250
Kuma  ,Coco  ,0,1,0,round,249
Compact  ,Peshio  ,0,1,0,round,248
Kie ,Lynn  ,0,1,0,round,247
Nojinko  ,Tamiflu  ,1,0,1,round,246
tk3  ,Renkon ,0,1,0,round,245
Ako  ,Kurutowa ,0,1,0,round,244
Share  ,Nanashi ,0,1,0,round,243
Pega  ,komorikiri  ,1,0,1,round,242
Motti  ,Pulnaref ,0,1,0,round,241
Navy  ,Tsu~ Summer  ,0,1,0,round,240
Notty  ,Step  ,0,1,0,round,239
NAI  ,sano ,0,1,0,round,238
Yoshidora  ,Kei  ,0,1,0,round,237
George  ,Zeri ,0,1,0,round,236
Lucia  ,Mago  ,0,1,0,round,235
Mana  ,Shawazu  ,1,0,1,round,234
Shachi  ,Yocchiy  ,0,1,0,round,233
Kon  ,Shin  ,1,0,1,round,232
Parme ,Miya  ,0,1,0,round,231
Tsumusuto  ,Nishiya  ,0,1,0,round,230
Risa&s  ,Alice  ,1,0,1,round,229
Ginko  ,Daiki  ,0,1,0,round,228
Masashi  ,Yuri  ,0,1,0,round,227
Araemon ,Uto  ,1,0,1,round,226
Ron  ,Egapon  ,0,1,0,round,225
SKK  ,Shumai  ,0,1,0,round,224
crow  ,Niki ,0,1,0,round,223
Renya  ,Perica  ,1,0,1,round,222
Emumaki ,TsubasaSP  ,1,0,1,round,221
??  ,Battakun ,0,1,0,round,220
Kusari katabira  ,AZ/&Z  ,0,1,0,round,219
Hoshizora  ,Tatsuya  ,0,1,0,round,218
Tofu  ,Kanreki ,0,1,0,round,217
Akira  ,Noa  ,0,1,0,round,216
Tsuna  ,Rufu ,0,1,0,round,215
Takokasu  ,Momonga ,0,1,0,round,214
Ramperu  ,†Yuta†  ,1,0,1,round,213
Ri-ma  ,APEC  ,0,1,0,round,212
Seven  ,Chinori ,1,0,1,round,211
Tsuna  ,Zeroluffy  ,0,1,0,round,210
Desumo  ,Shisutera ,0,1,0,round,209
Cloud Madomin  ,Ridley  ,0,1,0,round,208
DIO  ,Daruma ,0,1,0,round,207
Eda  ,Jaldabaotho ,0,1,0,round,206
Rizeasu  ,LYC ,0,1,0,round,205
Riaru  ,Kouya  ,1,0,1,round,204
Kuro ,Yonro  ,1,0,1,round,203
akasa  ,Ramu ,1,0,1,round,202
Shogun  ,liee  ,0,1,0,round,201
Surasura  ,Kitakami Aosho ,0,1,0,round,200
Ononox  ,Buffalo  ,0,1,0,round,199
Sylph  ,Gardex  ,0,1,0,round,198
Tatsutsuyo  ,Shinsen Yakiniku  ,0,1,0,round,197
Yotel  ,Rutsuchan  ,1,0,1,round,196
Atelier  ,7se ,0,1,0,round,195
OCEAN  ,Karamiso  ,0,1,0,round,194
Alicia  ,Ikuri ,0,1,0,round,193
Asan ,Mitsuki  ,1,0,1,round,192
Sopmo  ,Phisakura  ,0,1,0,round,191
Lunamado ,Sekawa  ,0,1,0,round,190
Abadango ,Oisiiprotein  ,0,1,0,round,189
Kuma  ,Compact  ,0,1,0,round,188
Kie ,Tamiflu  ,0,1,0,round,187
tk3  ,Ako  ,1,0,1,round,186
Share  ,komorikiri  ,1,0,1,round,185
Motti  ,Navy  ,0,1,0,round,184
Notty  ,NAI  ,1,0,1,round,183
Yoshidora  ,George  ,0,1,0,round,182
Lucia  ,Shawazu  ,0,1,0,round,181
Shachi  ,Shin  ,1,0,1,round,180
Parme ,Tsumusuto  ,0,1,0,round,179
Alice  ,Ginko  ,1,0,1,round,178
Masashi  ,Uto  ,0,1,0,round,177
Ron  ,SKK  ,0,1,0,round,176
crow  ,Perica  ,0,1,0,round,175
TsubasaSP  ,??  ,1,0,1,round,174
Kusari katabira  ,Hoshizora  ,1,0,1,round,173
Tofu  ,Akira  ,0,1,0,round,172
Tsuna  ,Takokasu  ,1,0,1,round,171
†Yuta†  ,Ri-ma  ,0,1,0,round,170
Chinori ,Tsuna  ,0,1,0,round,169
Desumo  ,Cloud Madomin  ,1,0,1,round,168
DIO  ,Eda  ,0,1,0,round,167
Rizeasu  ,Kouya  ,0,1,0,round,166
Yonro  ,Ramu ,0,1,0,round,165
Shogun  ,Surasura  ,0,1,0,round,164
Ononox  ,Sylph  ,1,0,1,round,163
Tatsutsuyo  ,Rutsuchan  ,0,1,0,round,162
Atelier  ,OCEAN  ,0,1,0,round,161
Alicia  ,Mitsuki  ,0,1,0,round,160
Sopmo  ,Lunamado ,1,0,1,round,159
Abadango ,Kuma  ,0,1,0,round,158
Kie ,Ako  ,0,1,0,round,157
komorikiri  ,Motti  ,1,0,1,round,156
NAI  ,Yoshidora  ,1,0,1,round,155
Lucia  ,Shin  ,1,0,1,round,154
Parme ,Ginko  ,0,1,0,round,153
Masashi  ,Ron  ,1,0,1,round,152
crow  ,??  ,0,1,0,round,151
Hoshizora  ,Tofu  ,1,0,1,round,150
Takokasu  ,†Yuta†  ,0,1,0,round,149
Chinori ,Cloud Madomin  ,1,0,1,round,148
DIO  ,Rizeasu  ,0,1,0,round,147
Yonro  ,Shogun  ,1,0,1,round,146
Sylph  ,Tatsutsuyo  ,0,1,0,round,145
Atelier  ,Alicia  ,0,1,0,round,144
Lunamado ,Abadango ,0,1,0,round,143
Kie ,Motti  ,0,1,0,round,142
Yoshidora  ,Shin  ,1,0,1,round,141
Parme ,Ron  ,1,0,1,round,140
crow  ,Tofu  ,0,1,0,round,139
Takokasu  ,Cloud Madomin  ,1,0,1,round,138
DIO  ,Shogun  ,1,0,1,round,137
Sylph  ,Atelier  ,1,0,1,round,136
Lunamado ,Kie ,0,1,0,round,135
Shin ,Ron ,1,0,1,round,134
crow ,Cloud Madomin ,0,1,0,round,133
Shogun ,Atelier ,1,0,1,round,132
Lunamado ,Ron ,1,0,1,round,131
crow ,Atelier ,1,0,1,round,130
Yomogi ,Denkota  ,1,0,1,round,129
Uni  ,Chart-Yatsu  ,0,1,0,round,128
Lararashi  ,Fill  ,1,0,1,round,127
Coco  ,Peshio  ,1,0,1,round,126
Lynn  ,Nojinko  ,1,0,1,round,125
Renkon ,Kurutowa ,1,0,1,round,124
Nanashi ,Pega  ,1,0,1,round,123
Pulnaref ,Tsu~ Summer  ,1,0,1,round,122
Step  ,sano ,0,1,0,round,121
Kei  ,Zeri ,1,0,1,round,120
Mago  ,Mana  ,0,1,0,round,119
Yocchiy  ,Kon  ,0,1,0,round,118
Miya  ,Nishiya  ,0,1,0,round,117
Risa&s  ,Daiki  ,0,1,0,round,116
Yuri  ,Araemon ,1,0,1,round,115
Egapon  ,Shumai  ,0,1,0,round,114
Niki ,Renya  ,0,1,0,round,113
Emumaki ,Battakun ,1,0,1,round,112
AZ/&Z  ,Tatsuya  ,1,0,1,round,111
Kanreki ,Noa  ,0,1,0,round,110
Rufu ,Momonga ,1,0,1,round,109
Ramperu  ,APEC  ,0,1,0,round,108
Seven  ,Zeroluffy  ,0,1,0,round,107
Shisutera ,Ridley  ,1,0,1,round,106
Daruma ,Jaldabaotho ,1,0,1,round,105
LYC ,Riaru  ,0,1,0,round,104
Kuro ,akasa  ,0,1,0,round,103
liee  ,Kitakami Aosho ,0,1,0,round,102
Buffalo  ,Gardex  ,0,1,0,round,101
Shinsen Yakiniku  ,Yotel  ,1,0,1,round,100
7se ,Karamiso  ,1,0,1,round,99
Ikuri ,Asan ,1,0,1,round,98
Mitsuki  ,Denkota  ,0,1,0,round,97
OCEAN  ,Uni  ,0,1,0,round,96
Rutsuchan  ,Fill  ,1,0,1,round,95
Ononox  ,Peshio  ,1,0,1,round,94
Surasura  ,Nojinko  ,0,1,0,round,93
Ramu ,Kurutowa ,0,1,0,round,92
Kouya  ,Pega  ,1,0,1,round,91
Eda  ,Tsu~ Summer  ,1,0,1,round,90
Desumo  ,Step  ,0,1,0,round,89
Tsuna  ,Zeri ,1,0,1,round,88
Ri-ma  ,Mago  ,0,1,0,round,87
Tsuna  ,Yocchiy  ,0,1,0,round,86
Akira  ,Miya  ,1,0,1,round,85
Kusari katabira  ,Risa&s  ,0,1,0,round,84
TsubasaSP  ,Araemon ,0,1,0,round,83
Perica  ,Egapon  ,0,1,0,round,82
