P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Oisiiprotein,Hoshizora,0,1,2,round,102
Rinkururu,Narinari,0,2,0,round,101
LYC,George,0,1,2,round,100
Lunamado,Masashi,0,0,2,round,99
OCEAN,Peshio,0,2,1,round,98
Maruttidabe,Gomamugitya,0,2,1,round,97
Lickey,Notty,0,1,2,round,96
Eda,Uraomote,0,0,2,round,95
Nyaha,Sylph,0,2,1,round,94
taranito,Munekin,0,2,0,round,93
Shogun,Tsumusuto,0,2,1,round,92
Kome,Kie,0,0,2,round,91
DIO,akasa,0,1,2,round,90
Ruri,Chart-Yatsu,0,2,1,round,89
Ri-ma,Ramu,0,0,2,round,88
Shuton,Lucia,0,2,0,round,87
Gackt,Tatsutsuyo,0,2,1,round,86
HIKARU,Mossan,0,1,2,round,85
Parme,kept,0,2,1,round,84
Navy,Eda,0,2,0,round,83
Etsuji,tk3,0,1,2,round,82
Lv.1,Sigma,0,2,0,round,81
Kuma,Shumai,0,0,2,round,80
Naoto,Nanashi,0,1,2,round,79
Maruttidabe,Seven,0,0,2,round,78
Meteo,Ako,0,1,2,round,77
Manzoku,Nanchan,0,1,2,round,76
Lickey,Alice,0,0,2,round,75
crow,Alicia,0,2,1,round,74
Kirbis,Oisiiprotein,0,2,0,round,73
Egapon,Lararashi,0,1,2,round,72
Rinkururu,Tsuna,0,0,2,round,71
Tea,Atelier,0,1,2,round,70
Umeki,Suinoko,0,1,2,round,69
Masha,Asui,0,1,2,round,68
Navy,Munekin,0,0,2,round,67
Lunamado,Phisakura,0,0,2,round,66
Ri-ma,LynZle,0,0,2,round,65
Nyaha,Takashi,0,2,1,round,64
Parme,Kie,0,0,2,round,63
OCEAN,LYC,0,2,0,round,62
Ako,Kirbis,0,2,0,round,61
Maruttidabe,Sekawa,0,0,2,round,60
ZAKI,Lickey,0,2,0,round,59
Zackray,DIO,0,1,2,round,58
Tsumusuto,Kuma,0,2,1,round,57
Kome,taranito,0,2,0,round,56
Sigma,Gackt,0,2,1,round,55
Egapon,Asui,0,0,2,round,54
Ruri,Mukyu,0,2,1,round,53
Atelier,Ruri,0,2,0,round,52
Umeki,Nanchan,0,1,2,round,51
Nyaha,Mossan,0,1,2,round,50
Lucia,crow,0,2,1,round,49
Tamiflu,Naoto,0,0,2,round,48
akasa,Rinkururu,0,2,1,round,47
Masashi,OCEAN,0,2,0,round,46
Lv.1,Etsuji,0,2,1,round,45
T,Tea,0,1,2,round,44
Atelier,Ri-ma,0,0,2,round,43
tk3,Tamiflu,0,2,0,round,42
HIKARU,Meteo,0,0,2,round,41
Masha,Manzoku,0,2,0,round,40
Ako,Nyaha,0,0,2,round,39
Parme,Navy,0,0,2,round,38
Umeki,Egapon,0,2,0,round,37
ZAKI,akasa,0,2,0,round,36
Masashi,Maruttidabe,0,2,1,round,35
Phisakura,Atelier,0,2,0,round,34
Lunamado,Zackray,0,1,2,round,33
Shuton,Shogun,0,2,1,round,32
Tsumusuto,Lucia,0,2,1,round,31
Umeki,taranito,0,0,2,round,30
Parme,Manzoku,0,0,2,round,29
Tea,Masashi,0,2,0,round,28
HIKARU,Masha,0,0,2,round,27
ZAKI,Etsuji,0,0,2,round,26
Shuton,Kome,0,2,0,round,25
Tsumusuto,Meteo,0,0,2,round,24
Sigma,tk3,0,1,2,round,23
T,Lv.1,0,2,0,round,22
Shogun,Ako,0,2,1,round,21
Sigma,DIO,0,1,2,round,20
Shuton,Lunamado,0,2,0,round,19
Tea,ZAKI,0,2,1,round,18
T,HIKARU,0,2,0,round,17
Tsumusuto,Parme,0,1,2,round,16
Sigma,Phisakura,0,2,0,round,15
Zackray,Tsumusuto,0,2,0,round,14
Umeki,Shogun,0,1,2,round,13
Tea,Kome,0,1,2,round,12
Masha,Sigma,0,2,0,round,11
Lv.1,Umeki,0,2,0,round,10
Zackray,Tea,0,1,2,round,9
Masha,Lv.1,0,0,2,round,8
Zackray,HIKARU,0,0,2,round,7
Masha,Lunamado,0,1,2,round,6
Zackray,Masha,0,2,0,round,5
Shuton,T,0,2,1,round,4
T,Zackray,0,2,0,round,3
T,Shuton,0,1,2,round,2
Shuton,T,0,0,2,round,1
