P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Lararashi ,You3 ,0,1,0,round,254
Ru-tuchan ,Nojinko ,0,1,0,round,253
Sigma ,Shiro ,1,0,1,round,252
Lickey ,Rinkururu ,0,1,0,round,251
Ri-ma ,Jaldabaotho ,0,1,0,round,250
Takun ,Sopmo ,0,1,0,round,249
Raito ,Dongoroth ,0,1,0,round,248
Fill ,Replika ,0,1,0,round,247
Tamiflu ,Rivuarea ,0,1,0,round,246
George ,Shumai ,1,0,1,round,245
Shogun ,kshin ,0,1,0,round,244
Seven ,Chart-Yatsu ,0,1,0,round,243
DoubleA ,Subaru ,0,1,0,round,242
Noluck ,Mossan ,1,0,1,round,241
Some ,Tener ,0,1,0,round,240
Goa ,Tsuna ,1,0,1,round,239
Ako ,?? ,0,1,0,round,238
Yocchiy ,Shachi ,1,0,1,round,237
Parme ,Meteo ,0,1,0,round,236
Pega ,Makua ,0,1,0,round,235
OCEAN ,Nomuken ,0,1,0,round,234
Tofu ,TeLeF ,0,1,0,round,233
Hoshizora ,Starl ,0,1,0,round,232
Notty ,Jarl ,0,1,0,round,231
Tea ,Kikuzakari ,0,1,0,round,230
Ononox ,Akira ,1,0,1,round,229
Kuma  ,kohma ,0,1,0,round,228
Yuzu ,LYC ,0,1,0,round,227
Suinoko ,Ma ,0,1,0,round,226
Tsuna ,akasa ,1,0,1,round,225
DIO ,Akagi ,0,1,0,round,224
Renya ,Gauru ,0,1,0,round,223
Kome ,Chiruchiru ,0,1,0,round,222
Araemon ,Takashi ,0,1,0,round,221
Yazawa ,Kie ,1,0,1,round,220
Lunamado ,Matchi ,0,1,0,round,219
Yoshidora ,Shiitake ,0,1,0,round,218
Abopo ,Ramperu ,1,0,1,round,217
kept ,After-5 ,0,1,0,round,216
Share ,Motti  ,1,0,1,round,215
Karupis ,Shun ,0,1,0,round,214
Hinawo ,Rita ,0,1,0,round,213
Etsuji ,Oji ,0,1,0,round,212
Phisakura ,Atelier ,1,0,1,round,211
Desumo ,Cheap ,0,1,0,round,210
crow ,kaito ,0,1,0,round,209
Navy ,Yonro ,0,1,0,round,208
taro  ,Oisiitofu ,0,1,0,round,207
Shuton ,Uraomote ,0,1,0,round,206
Arika ,Lynzle ,1,0,1,round,205
Airi ,Hiraga ,0,1,0,round,204
Nishiya ,Kusari Katabira ,0,1,0,round,203
Mikimatsu ,Jihanki ,1,0,1,round,202
Sata ,K2 ,0,1,0,round,201
Surasura ,Mago ,0,1,0,round,200
Eda ,Naoto ,1,0,1,round,199
Tiger ,Hochi ,0,1,0,round,198
Tatsutsuyo ,Fisu ,0,1,0,round,197
Abadango ,Noa ,0,1,0,round,196
tk3 ,Chinori ,0,1,0,round,195
Oisiiprotein ,Ruri ,0,1,0,round,194
Tsumusuto ,Mitsuky ,0,1,0,round,193
Repo ,Karamiso ,0,1,0,round,192
Masashi ,Sylph ,1,0,1,round,191
Lararashi ,Ru-tuchan ,1,0,1,round,190
Shiro ,Lickey ,1,0,1,round,189
Ri-ma ,Takun ,0,1,0,round,188
Raito ,Fill ,0,1,0,round,187
Tamiflu ,Shumai ,0,1,0,round,186
Shogun ,Seven ,1,0,1,round,185
DoubleA ,Mossan ,0,1,0,round,184
Some ,Tsuna ,0,1,0,round,183
Ako ,Shachi ,1,0,1,round,182
Parme ,Pega ,0,1,0,round,181
OCEAN ,Tofu ,0,1,0,round,180
