P1,P2,set winner,P1Score,P2Score,Round,roundDivision
Atelier,FILIP,0,1,0,round,191
komorikiri,Ark,0,1,0,round,190
Oisiitofu,Gackt,1,0,1,round,189
Masashi,Nau,0,1,0,round,188
Share,Tea,1,0,1,round,187
HIKARU,Logix,0,1,0,round,186
Sopmo,Kie,1,0,1,round,185
Mao,Jan,1,0,1,round,184
Notty,Nishiya,0,1,0,round,183
T,Tamiflu,1,0,1,round,182
DoubleA,Kuma,0,1,0,round,181
ZAKI,Lunamado,0,1,0,round,180
Desumo,Kurutowa,0,1,0,round,179
Takashi,Paseriman,0,1,0,round,178
Yoshidora,Sigma,1,0,1,round,177
Ke-ya,kou,0,1,0,round,176
Atelier,komorikiri,1,0,1,round,175
Gackt,Masashi,0,1,0,round,174
Tea,HIKARU,0,1,0,round,173
Kie,Jan,0,1,0,round,172
Notty,Tamiflu,1,0,1,round,171
DoubleA,ZAKI,1,0,1,round,170
Desumo,Takashi,1,0,1,round,169
Sigma,Ke-ya,0,1,0,round,168
komorikiri,Gackt,1,0,1,round,167
Tea,Kie,0,1,0,round,166
Tamiflu,ZAKI,1,0,1,round,165
Takashi,Sigma,1,0,1,round,164
Gackt,Tea,0,1,0,round,163
ZAKI,Sigma,0,1,0,round,162
Gackt,ZAKI,1,0,1,round,161
Airi,Yomogi,0,1,0,round,160
Komugiko,Yonet,0,1,0,round,159
Ako,Phisakura,0,1,0,round,158
Etsuji,Tarawo,0,1,0,round,157
Shachi,Smasher,0,1,0,round,156
Goa,OCEAN,1,0,1,round,155
Tiger,Ramperu,1,0,1,round,154
Pichi,Ononox,0,1,0,round,153
Kiosk,Kyogre,0,1,0,round,152
Tatsutsuyo,K2,0,1,0,round,151
Fuji,Tatsuya,0,1,0,round,150
Lagnel,Kisha,1,0,1,round,149
tk3,Perica,0,1,0,round,148
Yuta,Tsumusuto,1,0,1,round,147
crow,YOC,1,0,1,round,146
Asui,Lararashi,1,0,1,round,145
Mao,Airi,1,0,1,round,144
Sopmo,Komugiko,1,0,1,round,143
Logix,Ako,1,0,1,round,142
Share,Etsuji,1,0,1,round,141
Nau,Shachi,1,0,1,round,140
Oisiitofu,OCEAN,0,1,0,round,139
Ark,Ramperu,0,1,0,round,138
FILIP,Pichi,0,1,0,round,137
kou,Kiosk,0,1,0,round,136
Yoshidora,Tatsutsuyo,0,1,0,round,135
Paseriman,Fuji,1,0,1,round,134
Kurutowa,Kisha,1,0,1,round,133
Lunamado,tk3,0,1,0,round,132
Kuma,Tsumusuto,0,1,0,round,131
T,YOC,0,1,0,round,130
Nishiya,Lararashi,0,1,0,round,129
Airi,Komugiko,1,0,1,round,128
Ako,Etsuji,1,0,1,round,127
Shachi,Oisiitofu,1,0,1,round,126
Ark,FILIP,0,1,0,round,125
kou,Yoshidora,0,1,0,round,124
Fuji,Kisha,1,0,1,round,123
Lunamado,Kuma,0,1,0,round,122
T,Nishiya,0,1,0,round,121
Notty,Komugiko,1,0,1,round,120
DoubleA,Etsuji,1,0,1,round,119
Desumo,Oisiitofu,1,0,1,round,118
Ke-ya,Ark,0,1,0,round,117
Atelier,kou,0,1,0,round,116
Masashi,Kisha,0,1,0,round,115
HIKARU,Lunamado,0,1,0,round,114
Jan,T,1,0,1,round,113
Komugiko,Etsuji,0,1,0,round,112
Oisiitofu,Ke-ya,0,1,0,round,111
Atelier,Masashi,0,1,0,round,110
HIKARU,T,1,0,1,round,109
komorikiri,Komugiko,0,1,0,round,108
Kie,Oisiitofu,0,1,0,round,107
Tamiflu,Atelier,1,0,1,round,106
Takashi,T,1,0,1,round,105
komorikiri,Kie,0,1,0,round,104
Atelier,T,1,0,1,round,103
Sigma,komorikiri,0,1,0,round,102
Tea,T,0,1,0,round,101
Sigma,Tea,1,0,1,round,100
Gackt,Tea,1,0,1,round,99
ZAKI,Tea,1,0,1,round,98
ZAKI,Tea,1,0,1,round,97
